sep=;
CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8;Vbat;Trigger;AccX;AccY;AccZ;GyX;GyY;GyZ;N;fs;Timestamp
1457,62471043016;402,360537985282;941,212056851247;1238,70758276538;2095,51850691065;4151,55702299339;2312,20422173158;1793,35827972624;3559;0;3049;-16347;1121;-463;284;307;232353;500;09:57:23.717460
1433,11425057554;922,074420040357;930,426424148143;1214,13260521065;1773,53244728688;3392,37777618191;2334,37649636331;1846,32860577106;3559;0;3049;-16347;1121;-463;284;307;232354;500;09:57:23.717478
1595,67794996582;1601,21766006557;1386,79972960707;1539,61557346443;1595,61593982717;2062,19811077573;2214,07458777429;2114,20795552246;3559;0;3063;-16423;1151;-806;405;222;232355;500;09:57:23.717492
1806,83004125976;2380,13540390373;2062,99992384424;2078,6040006635;1578,85802845028;743,579861301929;2051,46328997833;2330,95930922346;3559;0;3063;-16423;1151;-806;405;222;232356;500;09:57:23.717506
2353,14815201389;3279,41354481137;2784,33721221949;2743,9420887361;1864,3463144803;-88,5588958316948;1728,82152750192;2747,63670323568;3559;0;3063;-16423;1151;-806;405;222;232357;500;09:57:23.717522
2096,56084965495;2331,88362207869;2141,08740692714;2204,393380853;1622,4920417869;-308,092329989828;1858,32060622284;2579,64882717212;3559;0;3063;-16423;1151;-806;405;222;232358;500;09:57:23.717537
2320,09372698027;2313,32261932723;2071,22802705725;2154,45667241816;1904,31740014441;440,05545538431;1641,29965887044;2664,08161252178;3559;0;3063;-16423;1151;-806;405;222;232359;500;09:57:23.717553
2241,62651326996;1782,12956713175;1941,54125787737;2069,28417561494;2187,51739432942;1705,52876601118;1611,76124802104;2540,65627319226;3559;0;3063;-16423;1151;-806;405;222;232360;500;09:57:23.717569
1978,22068712057;882,857697383326;1553,03629902995;1844,97589093004;2348,83920903155;3038,60684376355;1768,35902966856;2340,16661734669;3559;0;3063;-16423;1151;-806;405;222;232361;500;09:57:23.717586
1734,92030448106;405,198354829103;1106,71597817028;1440,54703174857;2291,41762702982;4040,89464129868;1924,91936227446;2109,29520511779;3559;0;3063;-16423;1151;-806;405;222;232362;500;09:57:23.717604
1265,03475988482;-21,7933754638652;599,344808255322;852,300301097683;1778,4936770054;4106,32347264077;2388,50417171593;1873,27415305213;3559;0;3063;-16423;1151;-806;405;222;232363;500;09:57:23.717623
1093,1288403928;612,900242391857;745,2149153637;872,582554576686;1435,87339420011;3337,02101327258;2402,99526918208;1743,4766117821;3559;0;3063;-16423;1151;-806;405;222;232364;500;09:57:23.718408
1192,63200830354;1659,00480210938;1440,76337108517;1444,1064789627;1286,28715479327;1942,19067859079;2189,64323255146;1833,85574129096;3559;0;2962;-16642;1148;-651;453;70;232365;500;09:57:23.718435
1537,29488628008;2946,37975284277;2302,46876078937;2116,7550021084;1329,3177445014;490,171574635606;1926,20104241138;1992,59652615839;3559;0;2962;-16642;1148;-651;453;70;232366;500;09:57:23.718457
2582,15947583748;4814,80411254184;3661,12734312576;3309,5935847275;1965,02535307198;-497,542119483987;1366,85547383456;2364,91975338687;3559;0;2962;-16642;1148;-651;453;70;232367;500;09:57:23.718479
2732,4217264764;4038,20433690283;3464,35636145424;3199,51118822687;2076,9629456799;-724,610949792492;1373,92044607125;2298,23356909363;3559;0;2962;-16642;1148;-651;453;70;232368;500;09:57:23.718502
3089,38704930665;3729,26121232123;3338,47520177986;3194,02757196326;2475,60761928651;112,505270021677;1172,15657212085;2522,46390000533;3559;0;2962;-16642;1148;-651;453;70;232369;500;09:57:23.718526
3782,62842329324;4218,03308717743;3852,0201610924;3773,80368534441;3410,76868772716;1818,62877243554;389,537238286517;1831,53603641456;3559;0;2962;-16642;1148;-651;453;70;232370;500;09:57:23.718550
3586,60511732369;2791,5491804519;3143,64923930168;3147,73358987586;3499,37094295118;3171,46389749547;871,777386586647;2274,08529310697;3559;0;2962;-16642;1148;-651;453;70;232371;500;09:57:23.718578
2393,18025002;1093,5892705025;1747,38485680358;1923,17302657;2744,03261711821;4027,30117889179;1653,04131066188;2563,94440627319;3559;0;2962;-16642;1148;-651;453;70;232372;500;09:57:23.718605
2320,6043840918;1761,03775683383;2127,41914140817;2168,67366509116;2735,37891028309;4219,40161012678;1448,62524924887;2258,8041851013;3559;0;2962;-16642;1148;-651;453;70;232373;500;09:57:23.718636
2034,19459505519;1935,13399013405;2211,45650197542;2222,21166051971;2425,62083293311;3527,48464019032;1728,67201325652;2480,09642773331;3559;0;2962;-16642;1148;-651;453;70;232374;500;09:57:23.718678
1955,99336986104;2229,21101372654;2420,56343678036;2385,29973850842;2189,19803840527;2294,52812628803;1977,3288875267;2440,15388025099;3559;0;2877;-16817;1182;-281;381;-24;232375;500;09:57:23.718708
2516,67708220519;3407,93737280171;3168,55584003846;3021,26834311907;2378,97767929896;1144,45328628435;1579,84916125558;2766,31302756711;3559;0;2877;-16817;1182;-281;381;-24;232376;500;09:57:23.718737
3053,36665390246;3893,08159486105;3750,07122469507;3620,35791114182;2635,8562932387;363,462902594765;1483,4075032773;3082,32815140241;3559;0;2877;-16817;1182;-281;381;-24;232377;500;09:57:23.718766
2915,43685122835;3150,70051066705;3256,89412074571;3230,00279615133;2528,69374315673;231,189988654805;1417,92438351375;3002,73997426813;3559;0;2877;-16817;1182;-281;381;-24;232378;500;09:57:23.718795
2522,72857389902;2035,86797269026;2291,75599201128;2332,61631485051;2261,78331780457;876,675650017278;1896,78259266919;2758,0722488371;3559;0;2877;-16817;1182;-281;381;-24;232379;500;09:57:23.718827
2470,71164017613;1852,1052137207;2010,3529147004;2082,34234516288;2376,73462184891;2095,40777926514;1697,81400513917;2633,6137480475;3559;0;2877;-16817;1182;-281;381;-24;232380;500;09:57:23.718859
2417,25986182922;1395,29687113134;1706,54767680203;1797,34970040724;2409,66374192107;3292,87591053272;1708,95646666893;2464,89381301682;3559;0;2877;-16817;1182;-281;381;-24;232381;500;09:57:23.718928
2254,0749094917;1168,72499041364;1457,15041492332;1479,07686837728;2295,01266411669;4080,74381081155;1777,53002187889;2257,44052337809;3559;0;2877;-16817;1182;-281;381;-24;232382;500;09:57:23.718978
2261,77621842478;1607,76541696838;1703,70857044775;1656,62495333236;2219,46565009118;4088,45949304471;1809,40264077904;2224,4074170643;3559;0;2877;-16817;1182;-281;381;-24;232383;500;09:57:23.719015
2091,41203720344;1720,2800596641;1700,67183399398;1671,89770549291;1925,15705259144;3301,91514829674;2119,05521214276;2105,24362860806;3559;0;2877;-16817;1182;-281;381;-24;232384;500;09:57:23.719053
2110,91133107338;2498,12590305059;2169,63578213321;2149,0061626198;1850,09114468493;2022,22787432256;2029,24674278183;2301,50916854886;3559;0;2970;-16790;1266;101;680;159;232385;500;09:57:23.719090
2551,43272884714;3823,65180041379;3173,25624784606;3012,60204380949;2161,46362076607;864,772627532831;1399,88219885988;2661,18911510147;3559;0;2970;-16790;1266;101;680;159;232386;500;09:57:23.719138
3040,01517426292;4472,62722388783;3754,79571701994;3509,53413282952;2432,09432139108;44,7050937153981;1299,04517987359;2966,5857241957;3559;0;2970;-16790;1266;101;680;159;232387;500;09:57:23.719174
2703,5300880078;3371,2856586508;3097,67407535866;2959,67058089492;2221,25805730792;-150,988133283274;1620,76485458401;2754,28538288083;3559;0;2970;-16790;1266;101;680;159;232388;500;09:57:23.719211
2630,50868329324;2795,34452665667;2842,16045322898;2784,24363908102;2436,30345075647;527,283833161811;1799,27888562361;2693,59009748395;3559;0;2970;-16790;1266;101;680;159;232389;500;09:57:23.719964
2890,20721489971;2621,99699967349;2890,83126017684;2915,97827518405;2923,83553381334;1834,056336765;1371,29533780232;2484,48514791625;3559;0;2970;-16790;1266;101;680;159;232390;500;09:57:23.720007
2553,28275980381;1260,20329783362;2102,04649478791;2251,9501558328;2850,65427021985;3030,03224399895;1748,56833030336;2221,25045566494;3559;0;2970;-16790;1266;101;680;159;232391;500;09:57:23.720048
2264,19042483217;1131,71144366753;1861,63995205169;2043,3117812532;2867,7122103367;3896,93031534262;1787,16265427694;2320,95200176432;3559;0;2970;-16790;1266;101;680;159;232392;500;09:57:23.720151
2200,22481647099;1696,42718476662;2161,779265919;2354,94049504783;2962,95058448007;3966,79652454494;1603,59948516812;2266,28051025118;3559;0;2970;-16790;1266;101;680;159;232393;500;09:57:23.720227
2254,23374166584;2441,84234739421;2544,54160836863;2670,53522566764;2869,06534978724;3245,60634002759;1451,08435084403;2284,74631492794;3559;0;2970;-16790;1266;101;680;159;232394;500;09:57:23.720434
2358,16083547939;2997,98502139252;2877,7056721244;2923,45306411653;2704,69024679833;2012,57187102415;1390,84778164548;2471,82875469339;3559;0;2975;-16411;1404;203;925;536;232395;500;09:57:23.720748
2260,95458887424;3088,94803177239;2857,79139967158;2890,87387315929;2409,09972006269;703,431706339004;1705,95121811028;2527,29095106944;3559;0;2975;-16411;1404;203;925;536;232396;500;09:57:23.721035
